雨,13.180174616963006,8258.0,0.0006782662436708619
雷,8.5539320120155,962.0,0.00012174629871412488
雪,3.067441426387106,808.0,0.0002851553808912313
傘,14.825578476356583,611.0,4.461450215199648e-05
富山,2.485291561959207,592.0,0.00025786408022558487
金沢,2.816070097585529,539.0,0.0002072009742026561
浜松,2.228369457958932,531.0,0.00025796085788751976
強風,2.1742981066199842,408.0,0.00020313631240138962
石川,2.5093616575764255,378.0,0.0001630703603603342
福井,2.2306598213885676,342.0,0.0001659736902183817
波浪,2.432280322102105,283.0,0.00012595612700829376
あめ,10.673879951071346,271.0,2.7484855989516268e-05
上越,3.3419835896779477,206.0,6.672819790412488e-05
長岡,2.5051455483228593,201.0,8.685795158658751e-05
中止,5.608534809678043,180.0,3.4743180634635006e-05
大雨,15.253515126321346,165.0,1.171009709412489e-05
明け,2.1930273063193586,149.0,7.355102307053649e-05
予報,3.50084248558372,146.0,4.514677929263852e-05
刈谷,2.7913840067232867,137.0,5.313093640226913e-05
ボジョレー,2.512999204372942,123.0,5.298576990936675e-05
警報,5.534816715275022,119.0,2.3275027695347406e-05
雨降り,25.915873224522205,117.0,4.887271927713281e-06
はま,2.094002556541394,117.0,6.048603870932278e-05
英,2.3923624880203422,111.0,5.022760654422163e-05
kanazawa,2.909209646979364,100.0,3.721101101397537e-05
高岡,3.5967559783394387,100.0,3.0097852861759012e-05
鈴鹿,2.372769019649987,98.0,4.47112798139314e-05
小雨,11.245728799013385,94.0,9.048711390914687e-06
検,2.3628666128264078,94.0,4.3066059561037814e-05
hamamatsu,2.610045921614986,91.0,3.774328815461741e-05
歌謡,2.485758020585701,86.0,3.745295516881266e-05
遅延,2.4561656631977757,83.0,3.658195621139841e-05
気圧,2.038744427576365,75.0,3.982400788621812e-05
makuhari,2.2073531222801024,74.0,3.6291623225593666e-05
大回り,16.664724689028624,73.0,4.742105434810906e-06
toyama,2.638727744929436,69.0,2.830746611596306e-05
nagaoka,3.182795321203547,69.0,2.3468583019217237e-05
憂鬱,2.485758020585701,68.0,2.961396455208443e-05
hpa,2.0365246433714175,68.0,3.614645673269129e-05
jyoetsu,4.097165109511897,63.0,1.6645757852805627e-05
停電,4.219834723569139,63.0,1.6161869543131045e-05
プロレス,2.0930692535299844,61.0,3.154951779078276e-05
自家製,2.8079859121431068,61.0,2.3516971850184695e-05
messe,2.986283956857482,59.0,2.1387863287616533e-05
足元,2.7581698584581065,54.0,2.1194307963746702e-05
関西国際空港,2.1157239895002635,54.0,2.7630022482418645e-05
アマ,6.93395658373906,53.0,8.274490095435356e-06
fukui,2.4297265897938103,53.0,2.361374951211961e-05
飯田,2.5872175316300154,51.0,2.1339474456649075e-05
防災,2.152760248016673,51.0,2.5646080412752857e-05
猪,5.538655007033189,51.0,9.968099179296393e-06
カッパ,4.9607083976036375,51.0,1.1129431122515391e-05
オイラ,2.1691310483818187,51.0,2.5452525088883025e-05
生憎,19.97484123684938,50.0,2.7097745341776605e-06
class,2.5833512916017676,50.0,2.095236380890941e-05
きの,2.250686336546409,50.0,2.4049248990826736e-05
高潮,6.249112342254556,50.0,8.66160074317502e-06
